种植地块,作物编号,作物名称,作物类型,种植面积/亩,种植季次,地块类型,亩产量/斤,种植成本/(元/亩),销售单价/(元/斤),预期销售量/斤,平均价格/元
A1,6,小麦,粮食,80.0,单季,平旱地,800.0,450.0,3.00-4.00,64000.0,3.5
A2,7,玉米,粮食,55.0,单季,平旱地,1000.0,500.0,2.50-3.50,55000.0,3.0
A3,7,玉米,粮食,35.0,单季,平旱地,1000.0,500.0,2.50-3.50,35000.0,3.0
A4,1,黄豆,粮食（豆类）,72.0,单季,平旱地,400.0,400.0,2.50-4.00,28800.0,3.25
A5,4,绿豆,粮食（豆类）,68.0,单季,平旱地,350.0,350.0,6.00-8.00,23800.0,7.0
A6,8,谷子,粮食,55.0,单季,平旱地,400.0,360.0,6.00-7.50,22000.0,6.75
B1,6,小麦,粮食,60.0,单季,梯田,760.0,450.0,3.00-4.00,45600.0,3.5
B2,2,黑豆,粮食（豆类）,46.0,单季,梯田,475.0,400.0,6.50-8.50,21850.0,7.5
B3,3,红豆,粮食（豆类）,40.0,单季,梯田,380.0,350.0,7.50-9.00,15200.0,8.25
B4,4,绿豆,粮食（豆类）,28.0,单季,梯田,330.0,350.0,6.00-8.00,9240.0,7.0
B5,5,爬豆,粮食（豆类）,25.0,单季,梯田,395.0,350.0,6.00-7.50,9875.0,6.75
B6,8,谷子,粮食,86.0,单季,梯田,380.0,360.0,6.00-7.50,32680.0,6.75
B7,6,小麦,粮食,55.0,单季,梯田,760.0,450.0,3.00-4.00,41800.0,3.5
B8,8,谷子,粮食,44.0,单季,梯田,380.0,360.0,6.00-7.50,16720.0,6.75
B9,9,高粱,粮食,50.0,单季,梯田,600.0,400.0,5.50-6.50,30000.0,6.0
B10,10,黍子,粮食,25.0,单季,梯田,500.0,360.0,6.50-8.50,12500.0,7.5
B11,1,黄豆,粮食（豆类）,60.0,单季,梯田,380.0,400.0,2.50-4.00,22800.0,3.25
B12,7,玉米,粮食,45.0,单季,梯田,950.0,500.0,2.50-3.50,42750.0,3.0
B13,14,莜麦,粮食,35.0,单季,梯田,400.0,400.0,5.00-6.00,14000.0,5.5
B14,15,大麦,粮食,20.0,单季,梯田,500.0,350.0,3.00-4.00,10000.0,3.5
C1,11,荞麦,粮食,15.0,单季,山坡地,100.0,350.0,30.00-50.00,1500.0,40.0
C2,12,南瓜,粮食,13.0,单季,山坡地,2700.0,1000.0,1.00-2.00,35100.0,1.5
C3,1,黄豆,粮食（豆类）,15.0,单季,山坡地,360.0,400.0,2.50-4.00,5400.0,3.25
C4,13,红薯,粮食,18.0,单季,山坡地,2000.0,2000.0,2.50-4.00,36000.0,3.25
C5,6,小麦,粮食,27.0,单季,山坡地,720.0,450.0,3.00-4.00,19440.0,3.5
C6,3,红豆,粮食（豆类）,20.0,单季,山坡地,360.0,350.0,7.50-9.00,7200.0,8.25
D1,20,土豆,蔬菜,15.0,第一季,水浇地,2000.0,2000.0,3.00-4.50,30000.0,3.75
D1,36,白萝卜,蔬菜,15.0,第二季,水浇地,4000.0,500.0,2.00-3.00,60000.0,2.5
D2,28,小青菜,蔬菜,10.0,第一季,水浇地,3200.0,1600.0,5.00-6.50,32000.0,5.75
D2,35,大白菜,蔬菜,10.0,第二季,水浇地,5000.0,2000.0,2.00-3.00,50000.0,2.5
D3,21,西红柿,蔬菜,14.0,第一季,水浇地,2400.0,2000.0,5.00-7.50,33600.0,6.25
D3,35,大白菜,蔬菜,14.0,第二季,水浇地,5000.0,2000.0,2.00-3.00,70000.0,2.5
D4,22,茄子,蔬菜,6.0,第一季,水浇地,6400.0,2000.0,5.00-6.00,38400.0,5.5
D4,35,大白菜,蔬菜,6.0,第二季,水浇地,5000.0,2000.0,2.00-3.00,30000.0,2.5
D5,17,豇豆,蔬菜（豆类）,10.0,第一季,水浇地,3000.0,2000.0,7.00-9.00,30000.0,8.0
D5,36,白萝卜,蔬菜,10.0,第二季,水浇地,4000.0,500.0,2.00-3.00,40000.0,2.5
D6,18,刀豆,蔬菜（豆类）,12.0,第一季,水浇地,2000.0,1000.0,5.50-8.00,24000.0,6.75
D6,37,红萝卜,蔬菜,12.0,第二季,水浇地,3000.0,500.0,2.50-4.00,36000.0,3.25
D7,16,水稻,粮食,22.0,单季,水浇地,500.0,680.0,6.00-8.00,11000.0,7.0
D8,16,水稻,粮食,20.0,单季,水浇地,500.0,680.0,6.00-8.00,10000.0,7.0
E1,18,刀豆,蔬菜（豆类）,0.6,第一季,普通大棚,2400.0,1200.0,5.50-8.00,1440.0,6.75
E1,38,榆黄菇,食用菌,0.6,第二季,普通大棚,5000.0,3000.0,50.00-65.00,3000.0,57.5
E2,24,青椒,蔬菜,0.6,第一季,普通大棚,3000.0,2000.0,4.00-6.50,1800.0,5.25
E2,38,榆黄菇,食用菌,0.6,第二季,普通大棚,5000.0,3000.0,50.00-65.00,3000.0,57.5
E3,25,菜花,蔬菜,0.6,第一季,普通大棚,4000.0,3000.0,5.00-6.00,2400.0,5.5
E3,38,榆黄菇,食用菌,0.6,第二季,普通大棚,5000.0,3000.0,50.00-65.00,3000.0,57.5
E4,26,包菜,蔬菜,0.6,第一季,普通大棚,4500.0,3500.0,5.50-7.50,2700.0,6.5
E4,39,香菇,食用菌,0.6,第二季,普通大棚,4000.0,2000.0,18.00-20.00,2400.0,19.0
E5,28,小青菜,蔬菜,0.6,第一季,普通大棚,4000.0,2000.0,5.00-6.50,2400.0,5.75
E5,39,香菇,食用菌,0.6,第二季,普通大棚,4000.0,2000.0,18.00-20.00,2400.0,19.0
E6,27,油麦菜,蔬菜,0.6,第一季,普通大棚,5000.0,2000.0,4.00-6.00,3000.0,5.0
E6,39,香菇,食用菌,0.6,第二季,普通大棚,4000.0,2000.0,18.00-20.00,2400.0,19.0
E7,19,芸豆,蔬菜（豆类）,0.6,第一季,普通大棚,3600.0,2400.0,5.00-8.00,2160.0,6.5
E7,40,白灵菇,食用菌,0.6,第二季,普通大棚,10000.0,10000.0,14.00-18.00,6000.0,16.0
E8,19,芸豆,蔬菜（豆类）,0.6,第一季,普通大棚,3600.0,2400.0,5.00-8.00,2160.0,6.5
E8,40,白灵菇,食用菌,0.6,第二季,普通大棚,10000.0,10000.0,14.00-18.00,6000.0,16.0
E9,18,刀豆,蔬菜（豆类）,0.6,第一季,普通大棚,2400.0,1200.0,5.50-8.00,1440.0,6.75
E9,40,白灵菇,食用菌,0.6,第二季,普通大棚,10000.0,10000.0,14.00-18.00,6000.0,16.0
E10,17,豇豆,蔬菜（豆类）,0.6,第一季,普通大棚,3600.0,2400.0,7.00-9.00,2160.0,8.0
E10,41,羊肚菌,食用菌,0.6,第二季,普通大棚,1000.0,10000.0,80.00-120.00,600.0,100.0
E11,17,豇豆,蔬菜（豆类）,0.6,第一季,普通大棚,3600.0,2400.0,7.00-9.00,2160.0,8.0
E11,41,羊肚菌,食用菌,0.6,第二季,普通大棚,1000.0,10000.0,80.00-120.00,600.0,100.0
E12,22,茄子,蔬菜,0.6,第一季,普通大棚,8000.0,2400.0,5.00-6.00,4800.0,5.5
